customer_id,segment_name,recency_days,frequency,monetary,avg_discount_pct,full_price_rate,return_rate,category_diversity,ticket_count_90d,negative_ticket_rate_90d,sessions_30d,abandoned_carts_30d,last_visit_days_ago,last_campaign_cost,manual_priority_bucket,churn_next_60d
CUST01998,Champions,6,7,8151.54,0.09714285714285716,0.2857142857142857,0.14285714285714285,4,1.0,1.0,13,1,0,0,medium,0
CUST01280,Champions,35,8,8071.46,0.3025,0.0,0.0,5,0.0,0.0,5,0,0,12,low,0
CUST01660,Champions,6,8,8061.9,0.27,0.125,0.0,4,0.0,0.0,10,2,0,12,low,0
CUST00360,Champions,2,6,8052.9800000000005,0.165,0.0,0.0,3,0.0,0.0,1,0,0,25,high,0
CUST01732,Champions,9,7,7979.33,0.27285714285714285,0.0,0.0,3,1.0,1.0,4,0,4,25,medium,0
CUST01172,Champions,27,9,7960.78,0.2811111111111111,0.0,0.0,4,0.0,0.0,4,0,6,25,low,0
CUST00263,Champions,25,12,7940.0,0.3475,0.0,0.25,4,2.0,1.0,15,3,11,12,medium,0
CUST00283,Champions,18,10,7871.0,0.327,0.0,0.2,5,1.0,1.0,8,1,6,25,medium,0
CUST01723,Champions,16,6,7673.5,0.25166666666666665,0.0,0.0,3,1.0,1.0,4,0,7,0,medium,0
CUST01630,Champions,19,8,7630.67,0.2625,0.0,0.125,3,1.0,1.0,6,2,10,25,medium,0
CUST00198,Champions,37,9,7595.96,0.28444444444444444,0.0,0.0,4,0.0,0.0,1,1,6,12,medium,0
CUST02357,Champions,30,8,7592.09,0.195,0.125,0.0,4,1.0,1.0,5,0,0,0,medium,0
CUST01980,Champions,1,8,7551.46,0.20375000000000001,0.0,0.125,4,0.0,0.0,10,0,3,40,low,0
CUST02054,Champions,29,7,7547.42,0.32857142857142857,0.0,0.14285714285714285,4,0.0,0.0,9,0,5,0,low,0
CUST00230,Champions,37,8,7503.74,0.2175,0.0,0.0,4,0.0,0.0,17,2,14,40,medium,0
CUST01313,Champions,4,6,7482.84,0.26666666666666666,0.0,0.0,4,0.0,0.0,6,0,0,0,low,0
CUST00351,Champions,9,7,7447.2,0.21,0.0,0.14285714285714285,4,1.0,1.0,4,1,1,40,medium,0
CUST00896,Champions,10,9,7413.08,0.23555555555555557,0.0,0.1111111111111111,4,1.0,1.0,3,1,12,18,medium,0
CUST00143,Champions,32,6,7407.96,0.17333333333333334,0.16666666666666666,0.0,4,0.0,0.0,5,1,9,0,low,0
CUST01440,Champions,6,6,7345.46,0.25,0.0,0.3333333333333333,2,1.0,1.0,3,0,1,12,medium,0
CUST00280,Champions,10,8,7231.759999999999,0.26875,0.0,0.0,5,0.0,0.0,6,1,4,25,low,0
CUST00323,Champions,5,8,7225.06,0.32875,0.0,0.0,4,0.0,0.0,6,1,9,40,low,0
CUST02072,Champions,35,11,7176.07,0.39272727272727276,0.0,0.0,6,0.0,0.0,4,1,1,25,low,1
CUST01386,Champions,14,6,7173.83,0.2316666666666667,0.0,0.16666666666666666,3,1.0,1.0,5,1,0,12,medium,0
CUST00524,Champions,11,10,7161.96,0.282,0.0,0.1,4,0.0,0.0,10,0,11,25,low,1
CUST00154,Champions,10,8,7145.24,0.23375,0.0,0.0,4,0.0,0.0,8,1,2,40,low,0
CUST01655,Champions,13,8,7066.74,0.11625,0.0,0.0,4,0.0,0.0,2,1,7,12,low,1
CUST00301,Champions,9,7,7023.07,0.18285714285714286,0.14285714285714285,0.0,3,1.0,1.0,7,1,13,40,medium,0
CUST00475,Champions,39,9,6914.04,0.20222222222222222,0.1111111111111111,0.0,4,0.0,0.0,2,0,6,25,medium,0
CUST00885,Champions,31,8,6880.8099999999995,0.21625,0.0,0.125,4,0.0,0.0,10,1,21,12,low,1
CUST02041,Champions,15,5,6809.49,0.182,0.2,0.2,4,1.0,1.0,7,1,14,18,medium,0
CUST00075,Champions,3,9,6791.61,0.3011111111111111,0.0,0.0,5,0.0,0.0,10,1,13,40,low,0
CUST00170,Champions,9,10,6759.48,0.27,0.0,0.0,3,0.0,0.0,5,1,0,18,low,0
CUST01115,Champions,17,10,6722.41,0.29,0.0,0.1,4,2.0,1.0,4,1,12,40,medium,0
CUST01820,Champions,6,10,6699.02,0.329,0.0,0.0,4,0.0,0.0,7,1,16,40,low,0
CUST01283,Champions,40,10,6697.49,0.31999999999999995,0.0,0.1,5,1.0,1.0,7,1,0,0,medium,1
CUST01346,Champions,38,10,6605.54,0.363,0.0,0.0,5,0.0,0.0,5,1,17,40,medium,0
CUST00389,Champions,14,9,6570.38,0.29888888888888887,0.0,0.0,3,1.0,1.0,11,0,14,40,medium,0
CUST01637,Champions,29,10,6494.71,0.29500000000000004,0.1,0.0,4,1.0,0.0,8,1,19,40,medium,0
CUST00665,Champions,35,9,6480.29,0.1788888888888889,0.1111111111111111,0.1111111111111111,3,1.0,1.0,3,0,3,40,medium,0
CUST01263,Champions,32,9,6440.45,0.28444444444444444,0.0,0.1111111111111111,5,1.0,0.0,5,0,24,0,medium,0
CUST01741,Champions,29,7,6413.37,0.3071428571428571,0.0,0.0,4,0.0,0.0,2,0,0,12,low,0
CUST01302,Champions,1,8,6399.610000000001,0.2425,0.0,0.0,3,0.0,0.0,8,1,0,25,low,0
CUST01940,Champions,8,7,6388.84,0.27,0.0,0.0,5,0.0,0.0,12,0,14,40,low,0
CUST00847,Champions,4,6,6336.01,0.355,0.0,0.0,4,0.0,0.0,12,1,4,12,low,0
CUST00359,Champions,3,8,6332.549999999999,0.25,0.0,0.0,3,0.0,0.0,0,0,0,25,low,0
CUST02340,Champions,28,7,6261.87,0.24714285714285714,0.0,0.0,5,1.0,1.0,8,1,1,25,medium,0
CUST01099,Champions,14,10,6243.88,0.327,0.0,0.0,5,0.0,0.0,9,2,0,25,low,0
CUST00200,Champions,15,6,6239.45,0.17166666666666666,0.16666666666666666,0.0,4,0.0,0.0,7,0,2,25,low,0
CUST02024,Champions,1,10,6196.01,0.225,0.0,0.0,5,0.0,0.0,17,2,6,12,low,0
CUST01397,Champions,4,7,6176.97,0.18571428571428572,0.0,0.0,5,0.0,0.0,12,1,0,0,low,0
CUST01152,Champions,1,7,6158.0599999999995,0.21142857142857144,0.0,0.0,4,1.0,1.0,9,1,17,18,medium,0
CUST02317,Champions,1,7,6148.13,0.24,0.14285714285714285,0.0,5,0.0,0.0,9,1,0,40,low,0
CUST02207,Champions,29,9,6120.55,0.30666666666666664,0.0,0.1111111111111111,5,1.0,1.0,2,1,9,18,medium,0
CUST01025,Champions,29,5,6092.71,0.182,0.0,0.2,5,1.0,1.0,20,2,6,12,medium,0
CUST01268,Champions,19,7,6083.44,0.19,0.0,0.14285714285714285,3,1.0,1.0,5,1,2,0,medium,1
CUST01395,Champions,32,6,6043.93,0.3466666666666667,0.0,0.0,4,0.0,0.0,4,1,9,12,low,0
CUST00273,Champions,13,8,6009.55,0.1925,0.0,0.125,3,0.0,0.0,7,2,1,25,low,0
CUST01167,Champions,23,8,5924.16,0.31375,0.0,0.0,6,0.0,0.0,3,1,0,18,low,0
CUST01911,Champions,40,8,5924.11,0.18375,0.0,0.0,3,1.0,1.0,4,0,9,18,medium,0
CUST02002,Champions,27,6,5905.59,0.245,0.0,0.0,3,0.0,0.0,7,0,0,12,low,0
CUST00574,Champions,5,7,5871.91,0.21857142857142858,0.14285714285714285,0.0,3,0.0,0.0,14,0,0,25,low,0
CUST00654,Champions,8,6,5827.77,0.15,0.0,0.3333333333333333,4,2.0,1.0,8,2,0,25,medium,0
CUST00188,Champions,29,7,5810.17,0.3085714285714286,0.0,0.14285714285714285,4,1.0,1.0,11,0,5,18,medium,1
CUST00956,Champions,31,7,5800.25,0.3028571428571429,0.0,0.0,2,1.0,1.0,10,0,15,12,medium,0
CUST00987,Champions,7,5,5784.1,0.3,0.0,0.0,3,1.0,1.0,2,0,0,18,medium,0
CUST01443,Champions,20,6,5784.09,0.22666666666666666,0.0,0.0,2,0.0,0.0,1,0,9,25,low,0
CUST01185,Champions,23,6,5763.86,0.20833333333333334,0.0,0.0,4,0.0,0.0,1,0,17,25,low,0
CUST00976,Champions,5,7,5735.389999999999,0.33,0.0,0.14285714285714285,5,0.0,0.0,9,2,4,25,low,0
CUST00690,Champions,4,5,5697.91,0.304,0.0,0.0,3,0.0,0.0,11,1,10,40,low,0
CUST01331,Champions,14,6,5693.12,0.2833333333333333,0.0,0.0,5,1.0,0.0,10,1,0,12,medium,0
CUST01647,Champions,10,6,5675.4,0.21666666666666667,0.0,0.0,4,0.0,0.0,8,1,0,18,low,0
CUST01394,Champions,16,5,5665.21,0.372,0.0,0.0,3,0.0,0.0,15,2,6,12,low,0
CUST01986,Champions,5,5,5637.98,0.302,0.0,0.4,3,0.0,0.0,17,4,1,18,low,0
CUST00178,Champions,5,8,5602.76,0.27625,0.0,0.25,6,2.0,1.0,10,1,0,25,medium,0
CUST00905,Champions,30,5,5594.75,0.304,0.0,0.0,4,0.0,0.0,11,0,0,25,low,0
CUST00112,Champions,0,8,5576.25,0.23875,0.125,0.125,4,0.0,0.0,4,0,0,0,low,0
CUST00421,Champions,0,7,5557.389999999999,0.2928571428571428,0.0,0.14285714285714285,3,0.0,0.0,4,1,0,25,low,0
CUST01381,Champions,2,8,5555.42,0.24125000000000002,0.0,0.0,6,0.0,0.0,11,0,0,0,low,0
CUST01212,Champions,20,6,5551.95,0.3933333333333333,0.0,0.3333333333333333,4,0.0,0.0,0,0,0,25,low,0
CUST01236,Champions,6,10,5515.45,0.31799999999999995,0.0,0.0,4,0.0,0.0,8,1,0,18,low,0
CUST00710,Champions,16,8,5514.42,0.28875,0.0,0.0,5,0.0,0.0,8,1,0,25,low,0
CUST00345,Champions,3,5,5510.36,0.154,0.2,0.0,2,0.0,0.0,15,2,0,12,low,0
CUST01033,Champions,14,10,5486.38,0.37,0.0,0.2,4,2.0,1.0,4,0,0,18,medium,0
CUST00641,Champions,35,6,5481.38,0.3283333333333333,0.0,0.0,4,0.0,0.0,5,1,0,0,low,0
CUST00617,Champions,14,10,5456.37,0.41,0.0,0.1,4,0.0,0.0,8,1,7,0,low,0
CUST00671,Champions,2,8,5453.93,0.3325,0.0,0.0,4,0.0,0.0,13,2,7,12,low,0
CUST02036,Champions,38,8,5443.38,0.25875000000000004,0.0,0.0,5,0.0,0.0,6,1,5,25,medium,0
CUST00711,Champions,19,8,5430.3,0.41000000000000003,0.0,0.125,2,1.0,1.0,10,2,13,25,medium,0
CUST01132,Champions,4,6,5419.860000000001,0.215,0.0,0.0,3,0.0,0.0,17,2,0,25,low,0
CUST02044,Champions,0,7,5404.4400000000005,0.21428571428571427,0.0,0.0,4,0.0,0.0,14,2,0,0,low,0
CUST00279,Champions,12,8,5366.55,0.34875,0.0,0.0,4,0.0,0.0,9,1,0,0,low,0
CUST00698,Champions,14,8,5318.95,0.25,0.0,0.375,4,2.0,1.0,11,2,16,40,medium,0
CUST00081,Champions,19,8,5311.16,0.16,0.25,0.25,4,0.0,0.0,12,1,0,12,low,0
CUST01478,Champions,40,5,5291.51,0.134,0.0,0.0,4,0.0,0.0,10,2,24,25,medium,1
CUST00513,Champions,27,8,5289.39,0.23125,0.25,0.0,4,1.0,0.0,6,2,8,18,medium,0
CUST00029,Champions,18,8,5252.9,0.23374999999999999,0.0,0.0,3,0.0,0.0,1,0,0,40,low,0
CUST02305,Champions,40,7,5250.78,0.28285714285714286,0.0,0.0,6,0.0,0.0,12,1,1,25,medium,0
CUST01274,Champions,25,7,5246.08,0.3657142857142857,0.0,0.0,3,0.0,0.0,15,4,0,12,low,0
CUST01944,Champions,13,7,5245.9800000000005,0.20714285714285716,0.0,0.0,3,0.0,0.0,6,0,4,12,low,0
CUST00911,Champions,30,9,5240.42,0.28111111111111114,0.0,0.1111111111111111,6,0.0,0.0,2,1,21,12,low,0
CUST01903,Champions,20,8,5239.29,0.28,0.0,0.25,3,0.0,0.0,8,1,0,12,low,0
CUST00466,Champions,25,10,5238.91,0.326,0.0,0.1,4,0.0,0.0,9,1,2,0,low,0
CUST01070,Champions,11,8,5227.41,0.26625,0.125,0.0,4,0.0,0.0,1,0,4,25,high,0
CUST01848,Champions,1,5,5180.32,0.29,0.0,0.0,4,0.0,0.0,10,2,1,40,low,0
CUST02315,Champions,39,8,5134.64,0.2725,0.125,0.0,4,1.0,1.0,12,3,22,18,medium,0
CUST00651,Champions,34,7,5105.77,0.36,0.0,0.0,4,0.0,0.0,6,0,5,0,low,0
CUST00184,Champions,14,5,5072.85,0.27199999999999996,0.0,0.0,3,0.0,0.0,6,0,6,12,low,1
CUST01146,Champions,23,6,5057.68,0.3383333333333334,0.0,0.0,4,0.0,0.0,12,2,6,18,low,0
CUST01330,Champions,3,5,5048.89,0.22600000000000003,0.0,0.0,4,0.0,0.0,6,1,2,25,low,0
CUST00463,Champions,29,4,5048.68,0.2525,0.0,0.0,3,0.0,0.0,0,0,3,18,low,0
CUST01293,Champions,15,7,5039.13,0.2657142857142857,0.0,0.0,3,0.0,0.0,0,0,1,25,low,0
CUST00667,Champions,25,5,5036.26,0.264,0.0,0.2,4,0.0,0.0,7,1,9,40,low,0
CUST00320,Champions,25,7,5001.34,0.32285714285714284,0.0,0.0,6,0.0,0.0,10,1,19,0,low,0
CUST00386,Champions,0,6,4989.88,0.24166666666666667,0.0,0.0,4,0.0,0.0,13,3,1,12,low,0
CUST00567,Champions,3,8,4922.05,0.2825,0.0,0.0,5,0.0,0.0,9,0,0,12,low,0
CUST00172,Champions,8,7,4910.65,0.36428571428571427,0.0,0.0,4,1.0,0.0,5,0,0,25,medium,0
CUST00613,Champions,4,6,4895.57,0.4116666666666666,0.0,0.0,5,2.0,0.5,14,3,7,25,medium,0
CUST00433,Champions,36,6,4884.34,0.295,0.0,0.0,3,1.0,1.0,10,0,6,40,medium,0
CUST00603,Champions,10,9,4869.21,0.30777777777777776,0.0,0.0,5,2.0,1.0,12,0,0,40,medium,0
CUST00696,Champions,40,5,4814.21,0.31,0.0,0.0,4,0.0,0.0,1,0,8,40,medium,0
CUST01096,Champions,3,6,4814.21,0.19666666666666666,0.16666666666666666,0.16666666666666666,4,0.0,0.0,10,4,11,0,low,0
CUST00255,Champions,22,6,4806.29,0.19833333333333333,0.0,0.16666666666666666,5,1.0,1.0,10,0,19,18,medium,0
CUST01140,Champions,22,6,4791.77,0.285,0.0,0.0,4,1.0,0.0,3,0,6,0,medium,0
CUST01631,Champions,2,6,4758.7699999999995,0.24,0.0,0.0,4,1.0,0.0,14,4,0,18,medium,0
CUST00097,Champions,1,7,4703.46,0.3685714285714286,0.0,0.14285714285714285,4,0.0,0.0,0,0,0,18,low,0
CUST01472,Champions,0,8,4686.9800000000005,0.3325,0.0,0.0,4,1.0,1.0,3,0,0,40,medium,0
CUST01984,Champions,21,8,4659.86,0.375,0.0,0.0,4,2.0,0.5,8,1,9,18,medium,0
CUST02394,Champions,38,5,4632.17,0.182,0.0,0.0,5,0.0,0.0,5,1,5,40,medium,0
CUST02332,Champions,17,4,4620.94,0.2375,0.0,0.25,4,0.0,0.0,4,0,16,12,low,0
CUST01897,Champions,28,6,4619.71,0.20166666666666666,0.0,0.0,3,0.0,0.0,7,1,0,40,low,0
CUST00609,Champions,6,5,4581.16,0.40599999999999997,0.0,0.0,3,0.0,0.0,6,1,0,40,low,0
CUST01972,Champions,4,9,4551.23,0.2744444444444445,0.0,0.1111111111111111,4,0.0,0.0,15,0,0,40,low,0
CUST01312,Champions,14,5,4551.03,0.21600000000000003,0.2,0.0,4,0.0,0.0,5,2,0,25,low,0
CUST01683,Champions,26,4,4532.08,0.29000000000000004,0.0,0.0,3,0.0,0.0,7,1,7,0,low,0
CUST01427,Champions,5,7,4513.07,0.40857142857142853,0.0,0.14285714285714285,4,2.0,1.0,11,1,9,12,medium,0
CUST02101,Champions,18,7,4502.69,0.4042857142857143,0.0,0.0,3,1.0,1.0,6,0,0,12,medium,1
CUST00161,Champions,20,4,4490.9,0.2625,0.0,0.0,3,0.0,0.0,7,2,0,0,low,0
CUST01642,Champions,4,5,4472.83,0.294,0.0,0.0,3,0.0,0.0,5,0,0,18,low,0
CUST01621,Champions,26,7,4465.24,0.22428571428571428,0.0,0.0,3,1.0,1.0,10,0,3,0,medium,0
CUST00557,Champions,16,6,4460.42,0.215,0.0,0.0,4,0.0,0.0,17,4,16,0,low,0
CUST02079,Champions,19,7,4373.8099999999995,0.33571428571428574,0.0,0.2857142857142857,4,1.0,1.0,1,0,6,18,medium,0
CUST00838,Champions,9,6,4291.93,0.2866666666666667,0.0,0.0,3,1.0,1.0,11,1,12,0,medium,1
CUST02140,Champions,30,6,4288.45,0.27,0.0,0.16666666666666666,4,0.0,0.0,15,1,0,12,low,0
CUST02100,Champions,23,8,4274.82,0.33875,0.0,0.125,5,0.0,0.0,13,1,17,0,low,0
CUST02026,Champions,34,5,4265.33,0.292,0.0,0.0,3,0.0,0.0,2,0,3,40,low,0
CUST01833,Champions,27,7,4261.32,0.2357142857142857,0.0,0.0,4,0.0,0.0,1,0,7,40,low,0
CUST00849,Champions,6,7,4218.23,0.29571428571428576,0.0,0.0,5,0.0,0.0,9,1,14,18,low,0
CUST00873,Champions,3,4,4213.62,0.1975,0.0,0.0,3,0.0,0.0,2,0,13,40,low,0
CUST00015,Champions,35,4,4200.93,0.3025,0.0,0.0,3,0.0,0.0,6,1,11,12,low,0
CUST00053,Champions,25,4,4192.59,0.395,0.0,0.0,3,1.0,1.0,9,1,5,0,medium,0
CUST00988,Champions,3,6,4188.58,0.18666666666666668,0.16666666666666666,0.0,3,0.0,0.0,3,0,1,0,low,0
CUST00408,Champions,40,7,4155.91,0.23857142857142857,0.14285714285714285,0.14285714285714285,4,0.0,0.0,0,0,0,12,high,0
CUST01314,Champions,1,5,4109.4400000000005,0.246,0.0,0.2,4,0.0,0.0,5,1,0,0,low,0
CUST00073,Champions,8,5,4077.07,0.154,0.2,0.0,3,0.0,0.0,7,0,0,12,low,0
CUST00134,Champions,35,5,4075.34,0.292,0.0,0.2,3,0.0,0.0,11,1,4,25,low,0
CUST01982,Champions,36,7,4060.75,0.19714285714285715,0.14285714285714285,0.0,4,1.0,1.0,5,0,11,18,medium,0
CUST00420,Champions,18,4,4050.29,0.185,0.25,0.0,3,0.0,0.0,14,1,0,25,low,0
CUST00383,Champions,8,6,4050.1099999999997,0.20000000000000004,0.0,0.16666666666666666,3,1.0,1.0,14,3,1,25,medium,0
CUST01081,Champions,19,4,4027.1899999999996,0.24,0.25,0.25,3,0.0,0.0,0,0,19,0,low,0
CUST00267,Champions,29,4,4026.2300000000005,0.25,0.0,0.25,2,1.0,1.0,8,0,11,25,medium,1
CUST02365,Champions,9,5,4018.01,0.33399999999999996,0.0,0.0,3,0.0,0.0,17,5,11,12,low,0
CUST01399,Champions,19,7,4005.24,0.35428571428571426,0.0,0.14285714285714285,5,1.0,1.0,10,1,6,40,medium,0
CUST00916,Champions,20,5,4003.46,0.202,0.0,0.2,3,1.0,0.0,9,1,0,12,medium,0
CUST01244,Champions,34,5,3977.53,0.16999999999999998,0.0,0.0,4,1.0,1.0,7,1,4,18,medium,0
CUST00610,Champions,22,5,3975.59,0.34199999999999997,0.0,0.4,3,1.0,1.0,10,3,7,18,medium,0
CUST01706,Champions,6,6,3962.25,0.26,0.0,0.0,3,1.0,1.0,6,1,0,0,medium,0
CUST02172,Champions,17,6,3942.03,0.30833333333333335,0.0,0.16666666666666666,5,1.0,0.0,4,1,0,0,medium,0
CUST00271,Champions,32,4,3933.98,0.20750000000000002,0.0,0.0,2,0.0,0.0,1,0,0,40,low,0
CUST00110,Champions,35,6,3922.07,0.26333333333333336,0.16666666666666666,0.0,4,2.0,1.0,4,0,8,12,medium,1
CUST02218,Champions,26,5,3903.06,0.258,0.0,0.2,3,0.0,0.0,2,0,0,18,low,0
CUST01663,Champions,22,5,3881.61,0.19,0.0,0.2,3,2.0,0.0,4,0,14,18,medium,0
CUST01218,Champions,0,5,3872.15,0.276,0.0,0.0,3,0.0,0.0,6,1,2,40,low,0
CUST02269,Champions,7,4,3854.66,0.3375,0.0,0.25,3,1.0,0.0,8,1,25,18,medium,0
CUST00727,Champions,8,5,3822.01,0.32,0.0,0.2,3,0.0,0.0,10,1,7,25,low,1
CUST01483,Champions,7,8,3817.9,0.27999999999999997,0.0,0.125,4,0.0,0.0,5,1,7,25,low,0
CUST02078,Champions,29,8,3814.58,0.27375,0.0,0.0,4,0.0,0.0,3,1,12,25,low,0
CUST01622,Champions,15,7,3807.67,0.25142857142857145,0.0,0.0,3,0.0,0.0,6,1,4,12,low,0
CUST02310,Champions,25,5,3787.63,0.236,0.0,0.0,3,1.0,1.0,8,0,1,18,medium,0
CUST02102,Champions,17,6,3780.56,0.39999999999999997,0.0,0.0,3,0.0,0.0,19,1,10,18,low,0
CUST00140,Champions,6,4,3768.34,0.28250000000000003,0.0,0.0,3,1.0,1.0,14,3,12,0,medium,0
CUST01813,Champions,22,5,3758.42,0.368,0.0,0.2,5,1.0,1.0,5,0,0,25,medium,0
CUST01620,Champions,4,6,3750.7,0.2966666666666667,0.0,0.0,4,0.0,0.0,7,0,2,40,low,0
CUST02109,Champions,21,5,3747.13,0.32199999999999995,0.0,0.0,4,0.0,0.0,7,1,7,18,low,0
CUST01786,Champions,23,6,3745.53,0.155,0.16666666666666666,0.16666666666666666,4,0.0,0.0,2,0,9,0,low,0
CUST01131,Champions,22,4,3713.8100000000004,0.27749999999999997,0.0,0.0,4,1.0,1.0,4,1,4,25,medium,0
CUST02133,Champions,33,4,3704.23,0.17500000000000002,0.0,0.0,3,0.0,0.0,11,0,8,0,low,0
CUST01652,Champions,40,6,3702.64,0.2683333333333333,0.0,0.3333333333333333,2,1.0,1.0,2,0,13,12,medium,0
CUST01035,Champions,5,7,3702.49,0.4271428571428571,0.0,0.14285714285714285,4,0.0,0.0,5,0,0,18,low,0
CUST01523,Champions,15,4,3702.2799999999997,0.3275,0.0,0.25,3,1.0,0.0,1,0,0,25,medium,0
CUST01157,Champions,0,5,3696.5,0.26,0.0,0.4,4,0.0,0.0,7,0,10,12,low,0
CUST02211,Champions,5,5,3668.86,0.41200000000000003,0.0,0.0,4,0.0,0.0,6,1,0,18,low,0
CUST01343,Champions,4,6,3668.71,0.18666666666666668,0.0,0.0,4,0.0,0.0,3,0,7,0,low,0
CUST01211,Champions,5,5,3668.5099999999998,0.394,0.0,0.2,4,2.0,0.0,8,1,2,18,medium,0
CUST00306,Champions,19,5,3658.35,0.21000000000000002,0.0,0.2,2,1.0,0.0,2,0,0,12,medium,0
CUST01823,Champions,32,4,3657.11,0.22,0.0,0.0,2,0.0,0.0,6,2,0,0,low,0
CUST01498,Champions,12,5,3640.46,0.166,0.0,0.0,3,1.0,1.0,14,1,0,18,medium,0
CUST00451,Champions,29,4,3636.0,0.1625,0.0,0.25,2,0.0,0.0,3,1,4,18,low,0
CUST01535,Champions,8,8,3627.45,0.34625,0.0,0.25,4,0.0,0.0,9,1,6,40,low,0
CUST01638,Champions,31,5,3624.0,0.35,0.0,0.0,4,0.0,0.0,9,0,22,12,low,0
CUST02355,Champions,9,7,3620.0899999999997,0.3628571428571429,0.0,0.0,3,1.0,0.0,0,0,0,18,high,0
CUST01808,Champions,17,6,3618.0299999999997,0.24666666666666667,0.0,0.0,5,0.0,0.0,5,0,2,18,low,0
CUST00237,Champions,15,4,3607.29,0.2525,0.0,0.0,2,0.0,0.0,8,1,0,18,low,0
CUST00593,Champions,29,5,3602.31,0.262,0.0,0.0,3,1.0,1.0,9,1,19,0,medium,0
CUST01677,Champions,17,6,3597.0699999999997,0.23333333333333336,0.0,0.0,3,0.0,0.0,3,0,6,40,low,0
CUST00935,Champions,28,5,3594.4,0.352,0.0,0.0,2,0.0,0.0,7,1,9,12,low,0
CUST02175,Champions,31,5,3584.25,0.126,0.0,0.0,3,0.0,0.0,6,0,6,0,low,0
CUST02237,Champions,38,6,3565.76,0.26833333333333337,0.0,0.16666666666666666,5,0.0,0.0,10,1,0,40,medium,0
CUST00688,Champions,13,5,3552.34,0.274,0.0,0.2,4,1.0,1.0,1,0,0,25,medium,0
CUST00056,Champions,9,4,3530.41,0.28500000000000003,0.0,0.0,3,1.0,1.0,3,1,0,12,medium,0
CUST01656,Champions,9,6,3506.88,0.22666666666666666,0.0,0.16666666666666666,2,0.0,0.0,16,3,2,0,low,0
CUST00380,Champions,39,6,3460.9,0.4033333333333333,0.0,0.0,4,0.0,0.0,8,2,0,40,medium,0
CUST02021,Champions,9,4,3437.71,0.2925,0.0,0.25,2,1.0,1.0,12,0,0,18,medium,0
CUST00030,Champions,5,6,3435.5899999999997,0.34,0.0,0.0,5,2.0,1.0,11,1,3,40,medium,0
CUST02009,Champions,31,4,3434.0099999999998,0.35,0.0,0.25,4,1.0,1.0,1,0,0,25,medium,0
CUST01257,Champions,27,5,3430.98,0.316,0.0,0.2,3,1.0,1.0,4,0,4,18,medium,1
CUST01497,Champions,35,5,3393.85,0.374,0.0,0.2,4,1.0,1.0,9,0,14,25,medium,0
CUST02202,Champions,2,6,3383.51,0.27666666666666667,0.0,0.0,2,0.0,0.0,2,0,0,25,low,0
CUST02345,Champions,33,5,3378.75,0.22200000000000003,0.0,0.0,3,0.0,0.0,1,0,9,18,high,0
CUST01332,Champions,17,4,3364.3,0.28,0.0,0.0,2,0.0,0.0,7,1,6,40,low,0
CUST00322,Champions,4,5,3351.86,0.384,0.0,0.0,2,0.0,0.0,5,0,2,40,low,0
CUST02162,Champions,12,6,3338.24,0.305,0.0,0.0,3,0.0,0.0,12,1,0,40,low,0
CUST01888,Champions,27,6,3310.32,0.335,0.16666666666666666,0.0,3,0.0,0.0,3,0,3,0,low,0
